English 	Bork, bork, bork!
about 	ebuoot
all 	ell
any 	uny
are 	ere-a
been 	beee
cloudy 	cloodee
correctly 	currectly
did 	deed
different 	deefffferent
documents 	ducooments
feeling 	feeleeng
general 	generel
go 	gu
Google 	Google-a
have 	hefe-a
home 	hume-a
i'm 	ee'm
in 	ing
info 	inffu
keywords 	keyvurds
little 	leetl-a
lucky 	loocky
make 	meke-a
match 	metch
more 	mure-a
mostly 	moostlee
not 	nut
preferences 	prefferences
rain 	reen
saved 	sefed
search 	seerch
showers 	showerygüben
sign 	sine
snow 	snoo
suggestions 	sooggesshuns
sure 	soore-a
thunderstorm 	doonderstoorm
to 	tu
words 	vurds
your 	yuoor

